Frame	Phase
1164	GallbladderDissection
1165	GallbladderDissection
1166	GallbladderDissection
1167	GallbladderDissection
1168	GallbladderDissection
1169	GallbladderDissection
1170	GallbladderDissection
1171	GallbladderDissection
1172	GallbladderDissection
1173	GallbladderDissection
1174	GallbladderDissection
1175	GallbladderDissection
1176	GallbladderDissection
1177	GallbladderDissection
1178	GallbladderDissection
1179	GallbladderDissection
1180	GallbladderDissection
1181	GallbladderDissection
1182	GallbladderDissection
1183	GallbladderDissection
1184	GallbladderDissection
1185	GallbladderDissection
1186	GallbladderDissection
1187	GallbladderDissection
1188	GallbladderDissection
1189	GallbladderDissection
1190	GallbladderDissection
1191	GallbladderDissection
1192	GallbladderDissection
1193	GallbladderDissection
1194	GallbladderDissection
1195	GallbladderDissection
1196	GallbladderDissection
1197	GallbladderDissection
1198	GallbladderDissection
1199	GallbladderDissection
1200	GallbladderDissection
1201	GallbladderDissection
1202	GallbladderDissection
1203	GallbladderDissection
1204	GallbladderDissection
1205	GallbladderDissection
1206	GallbladderDissection
1207	GallbladderDissection
1208	GallbladderDissection
1209	GallbladderDissection
1210	GallbladderDissection
1211	GallbladderDissection
1212	GallbladderDissection
1213	GallbladderDissection
1214	GallbladderDissection
1215	GallbladderDissection
1216	GallbladderDissection
1217	GallbladderDissection
1218	GallbladderDissection
1219	GallbladderDissection
1220	GallbladderDissection
1221	GallbladderDissection
1222	GallbladderDissection
1223	GallbladderDissection
1224	GallbladderDissection
1225	GallbladderDissection
1226	GallbladderDissection
1227	GallbladderDissection
1228	GallbladderDissection
1229	GallbladderDissection
1230	GallbladderDissection
1231	GallbladderDissection
1232	GallbladderDissection
1233	GallbladderDissection
1234	GallbladderDissection
1235	GallbladderDissection
1236	GallbladderDissection
1237	GallbladderDissection
1238	GallbladderDissection
1239	GallbladderDissection
1240	GallbladderDissection
1241	GallbladderDissection
1242	GallbladderDissection
1243	GallbladderDissection
1244	GallbladderDissection
1245	GallbladderDissection
1246	GallbladderDissection
1247	GallbladderDissection
1248	GallbladderDissection
1249	GallbladderDissection
1250	GallbladderDissection
1251	GallbladderDissection
1252	GallbladderDissection
1253	GallbladderDissection
1254	GallbladderDissection
1255	GallbladderDissection
1256	GallbladderDissection
1257	GallbladderDissection
1258	GallbladderDissection
1259	GallbladderDissection
1260	GallbladderDissection
1261	GallbladderDissection
1262	GallbladderDissection
1263	GallbladderDissection
1264	GallbladderDissection
1265	GallbladderDissection
1266	GallbladderDissection
1267	GallbladderDissection
1268	GallbladderDissection
1269	GallbladderDissection
1270	GallbladderDissection
1271	GallbladderDissection
1272	GallbladderDissection
1273	GallbladderDissection
1274	GallbladderDissection
1275	GallbladderDissection
1276	GallbladderDissection
1277	GallbladderDissection
1278	GallbladderDissection
1279	GallbladderDissection
1280	GallbladderDissection
1281	GallbladderDissection
1282	GallbladderDissection
1283	GallbladderDissection
1284	GallbladderDissection
1285	GallbladderDissection
1286	GallbladderDissection
1287	GallbladderDissection
1288	GallbladderDissection
1289	GallbladderDissection
1290	GallbladderDissection
1291	GallbladderDissection
1292	GallbladderDissection
1293	GallbladderDissection
1294	GallbladderDissection
1295	GallbladderDissection
1296	GallbladderDissection
1297	GallbladderDissection
1298	GallbladderDissection
1299	GallbladderDissection
1300	GallbladderDissection
1301	GallbladderDissection
1302	GallbladderDissection
1303	GallbladderDissection
1304	GallbladderDissection
1305	GallbladderDissection
1306	GallbladderDissection
1307	GallbladderDissection
1308	GallbladderDissection
1309	GallbladderDissection
1310	GallbladderDissection
1311	GallbladderDissection
1312	GallbladderDissection
1313	GallbladderDissection
1314	GallbladderDissection
1315	GallbladderDissection
1316	GallbladderDissection
1317	GallbladderDissection
1318	GallbladderDissection
1319	GallbladderDissection
1320	GallbladderDissection
1321	GallbladderDissection
1322	GallbladderDissection
1323	GallbladderDissection
1324	GallbladderDissection
1325	GallbladderDissection
1326	GallbladderDissection
1327	GallbladderDissection
1328	GallbladderDissection
1329	GallbladderDissection
1330	GallbladderDissection
1331	GallbladderDissection
1332	GallbladderDissection
1333	GallbladderDissection
1334	GallbladderDissection
1335	GallbladderDissection
1336	GallbladderDissection
1337	GallbladderDissection
1338	GallbladderDissection
1339	GallbladderDissection
1340	GallbladderDissection
1341	GallbladderDissection
1342	GallbladderDissection
1343	GallbladderDissection
1344	GallbladderDissection
1345	GallbladderDissection
1346	GallbladderDissection
1347	GallbladderDissection
1348	GallbladderDissection
1349	GallbladderDissection
1350	GallbladderDissection
1351	GallbladderDissection
1352	GallbladderDissection
1353	GallbladderDissection
1354	GallbladderDissection
1355	GallbladderDissection
1356	GallbladderDissection
1357	GallbladderDissection
1358	GallbladderDissection
1359	GallbladderDissection
1360	GallbladderDissection
1361	GallbladderDissection
1362	GallbladderDissection
1363	GallbladderDissection
1364	GallbladderDissection
1365	GallbladderDissection
1366	GallbladderDissection
1367	GallbladderDissection
1368	GallbladderDissection
1369	GallbladderDissection
1370	GallbladderDissection
1371	GallbladderDissection
1372	GallbladderDissection
1373	GallbladderDissection
1374	GallbladderDissection
1375	GallbladderDissection
1376	GallbladderDissection
1377	GallbladderDissection
1378	GallbladderDissection
1379	GallbladderDissection
1380	GallbladderDissection
1381	GallbladderDissection
1382	GallbladderDissection
1383	GallbladderDissection
1384	GallbladderDissection
1385	GallbladderDissection
1386	GallbladderDissection
1387	GallbladderDissection
1388	GallbladderDissection
1389	GallbladderDissection
1390	GallbladderDissection
1391	GallbladderDissection
1392	GallbladderDissection
1393	GallbladderDissection
1394	GallbladderDissection
1395	GallbladderDissection
1396	GallbladderDissection
1397	GallbladderDissection
1398	GallbladderDissection
1399	GallbladderDissection
1400	GallbladderDissection
1401	GallbladderDissection
1402	GallbladderDissection
1403	GallbladderDissection
1404	GallbladderDissection
1405	GallbladderDissection
1406	GallbladderDissection
1407	GallbladderDissection
1408	GallbladderDissection
1409	GallbladderDissection
1410	GallbladderDissection
1411	GallbladderDissection
1412	GallbladderDissection
1413	GallbladderDissection
1414	GallbladderDissection
1415	GallbladderDissection
1416	GallbladderDissection
1417	GallbladderDissection
1418	GallbladderDissection
1419	GallbladderDissection
1420	GallbladderDissection
1421	GallbladderDissection
1422	GallbladderDissection
1423	GallbladderDissection
1424	GallbladderDissection
1425	GallbladderDissection
1426	GallbladderDissection
1427	GallbladderDissection
1428	GallbladderDissection
1429	GallbladderDissection
1430	GallbladderDissection
1431	GallbladderDissection
1432	GallbladderDissection
1433	GallbladderDissection
1434	GallbladderDissection
1435	GallbladderDissection
1436	GallbladderDissection
1437	GallbladderDissection
1438	GallbladderDissection
1439	GallbladderDissection
1440	GallbladderDissection
1441	GallbladderDissection
1442	GallbladderDissection
1443	GallbladderDissection
1444	GallbladderDissection
1445	GallbladderDissection
1446	GallbladderDissection
1447	GallbladderDissection
1448	GallbladderDissection
1449	GallbladderDissection
1450	GallbladderDissection
1451	GallbladderDissection
1452	GallbladderDissection
1453	GallbladderDissection
1454	GallbladderDissection
1455	GallbladderDissection
1456	GallbladderDissection
1457	GallbladderDissection
1458	GallbladderDissection
1459	GallbladderDissection
1460	GallbladderDissection
1461	GallbladderDissection
1462	GallbladderDissection
1463	GallbladderDissection
1464	GallbladderDissection
1465	GallbladderDissection
1466	GallbladderDissection
1467	GallbladderDissection
1468	GallbladderDissection
1469	GallbladderDissection
1470	GallbladderPackaging
1471	GallbladderPackaging
1472	GallbladderPackaging
1473	GallbladderPackaging
1474	GallbladderPackaging
1475	GallbladderPackaging
1476	GallbladderPackaging
1477	GallbladderPackaging
1478	GallbladderPackaging
1479	GallbladderPackaging
1480	GallbladderPackaging
1481	GallbladderPackaging
1482	GallbladderPackaging
1483	GallbladderPackaging
1484	GallbladderPackaging
1485	GallbladderPackaging
1486	GallbladderPackaging
1487	GallbladderPackaging
1488	GallbladderPackaging
1489	GallbladderPackaging
1490	GallbladderPackaging
1491	GallbladderPackaging
1492	GallbladderPackaging
1493	GallbladderPackaging
1494	GallbladderPackaging
1495	GallbladderPackaging
1496	GallbladderPackaging
1497	GallbladderPackaging
1498	GallbladderPackaging
1499	GallbladderPackaging
1500	GallbladderPackaging
1501	GallbladderPackaging
1502	GallbladderPackaging
1503	GallbladderPackaging
1504	GallbladderPackaging
1505	GallbladderPackaging
1506	GallbladderPackaging
1507	GallbladderPackaging
1508	GallbladderPackaging
1509	GallbladderPackaging
1510	GallbladderPackaging
1511	GallbladderPackaging
1512	GallbladderPackaging
1513	GallbladderPackaging
1514	GallbladderPackaging
1515	GallbladderPackaging
1516	GallbladderPackaging
1517	GallbladderPackaging
1518	GallbladderPackaging
1519	GallbladderPackaging
1520	GallbladderPackaging
1521	GallbladderPackaging
1522	GallbladderPackaging
1523	GallbladderPackaging
1524	GallbladderPackaging
1525	GallbladderPackaging
1526	GallbladderPackaging
1527	GallbladderPackaging
1528	GallbladderPackaging
1529	GallbladderPackaging
1530	GallbladderPackaging
1531	GallbladderPackaging
1532	GallbladderPackaging
1533	GallbladderPackaging
1534	GallbladderPackaging
1535	GallbladderPackaging
1536	GallbladderPackaging
1537	GallbladderPackaging
1538	GallbladderPackaging
1539	GallbladderPackaging
1540	GallbladderPackaging
1541	GallbladderPackaging
1542	GallbladderPackaging
1543	GallbladderPackaging
1544	GallbladderPackaging
1545	GallbladderPackaging
1546	GallbladderPackaging
1547	GallbladderPackaging
1548	GallbladderPackaging
1549	GallbladderPackaging
1550	GallbladderPackaging
1551	GallbladderPackaging
1552	GallbladderPackaging
1553	GallbladderPackaging
1554	GallbladderPackaging
1555	GallbladderPackaging
1556	GallbladderPackaging
1557	GallbladderPackaging
1558	GallbladderPackaging
1559	GallbladderPackaging
1560	GallbladderPackaging
1561	GallbladderPackaging
1562	GallbladderPackaging
1563	GallbladderPackaging
1564	GallbladderPackaging
1565	GallbladderPackaging
1566	GallbladderPackaging
1567	GallbladderPackaging
1568	CleaningCoagulation
1569	CleaningCoagulation
1570	CleaningCoagulation
1571	CleaningCoagulation
1572	CleaningCoagulation
1573	CleaningCoagulation
1574	CleaningCoagulation
1575	CleaningCoagulation
1576	CleaningCoagulation
1577	CleaningCoagulation
1578	CleaningCoagulation
1579	CleaningCoagulation
1580	CleaningCoagulation
1581	CleaningCoagulation
1582	CleaningCoagulation
1583	CleaningCoagulation
1584	CleaningCoagulation
1585	CleaningCoagulation
1586	CleaningCoagulation
1587	CleaningCoagulation
1588	CleaningCoagulation
1589	CleaningCoagulation
1590	CleaningCoagulation
1591	CleaningCoagulation
1592	CleaningCoagulation
1593	CleaningCoagulation
1594	CleaningCoagulation
1595	CleaningCoagulation
1596	CleaningCoagulation
1597	CleaningCoagulation
1598	CleaningCoagulation
1599	CleaningCoagulation
1600	CleaningCoagulation
1601	CleaningCoagulation
1602	CleaningCoagulation
1603	CleaningCoagulation
1604	CleaningCoagulation
1605	CleaningCoagulation
1606	CleaningCoagulation
1607	CleaningCoagulation
1608	CleaningCoagulation
1609	CleaningCoagulation
1610	CleaningCoagulation
1611	CleaningCoagulation
1612	CleaningCoagulation
1613	CleaningCoagulation
1614	CleaningCoagulation
1615	CleaningCoagulation
1616	CleaningCoagulation
1617	CleaningCoagulation
1618	CleaningCoagulation
1619	CleaningCoagulation
1620	CleaningCoagulation
1621	CleaningCoagulation
1622	CleaningCoagulation
1623	CleaningCoagulation
1624	CleaningCoagulation
1625	CleaningCoagulation
1626	CleaningCoagulation
1627	CleaningCoagulation
1628	CleaningCoagulation
1629	CleaningCoagulation
1630	CleaningCoagulation
1631	CleaningCoagulation
1632	CleaningCoagulation
1633	CleaningCoagulation
1634	CleaningCoagulation
1635	CleaningCoagulation
1636	CleaningCoagulation
1637	CleaningCoagulation
1638	CleaningCoagulation
1639	CleaningCoagulation
1640	CleaningCoagulation
1641	GallbladderRetraction
1642	GallbladderRetraction
1643	GallbladderRetraction
1644	GallbladderRetraction
1645	GallbladderRetraction
1646	GallbladderRetraction
1647	GallbladderRetraction
1648	GallbladderRetraction
1649	GallbladderRetraction
1650	GallbladderRetraction
1651	GallbladderRetraction
1652	GallbladderRetraction
1653	GallbladderRetraction
1654	GallbladderRetraction
1655	GallbladderRetraction
1656	GallbladderRetraction
1657	GallbladderRetraction
1658	GallbladderRetraction
1659	GallbladderRetraction
1660	GallbladderRetraction
1661	GallbladderRetraction
1662	GallbladderRetraction
1663	GallbladderRetraction
1664	GallbladderRetraction
1665	GallbladderRetraction
1666	GallbladderRetraction
1667	GallbladderRetraction
1668	GallbladderRetraction
1669	GallbladderRetraction
1670	GallbladderRetraction
1671	GallbladderRetraction
1672	GallbladderRetraction
1673	GallbladderRetraction
1674	GallbladderRetraction
1675	GallbladderRetraction
1676	GallbladderRetraction
1677	GallbladderRetraction
1678	GallbladderRetraction
1679	GallbladderRetraction
1680	GallbladderRetraction
1681	GallbladderRetraction
1682	GallbladderRetraction
1683	GallbladderRetraction
1684	GallbladderRetraction
1685	GallbladderRetraction
1686	GallbladderRetraction
1687	GallbladderRetraction
1688	GallbladderRetraction
1689	GallbladderRetraction
1690	GallbladderRetraction
1691	GallbladderRetraction
1692	GallbladderRetraction
1693	GallbladderRetraction
1694	GallbladderRetraction
1695	GallbladderRetraction
1696	GallbladderRetraction
1697	GallbladderRetraction
1698	GallbladderRetraction
1699	GallbladderRetraction
1700	GallbladderRetraction
1701	GallbladderRetraction
1702	GallbladderRetraction
1703	GallbladderRetraction
1704	GallbladderRetraction
1705	GallbladderRetraction
1706	GallbladderRetraction
1707	GallbladderRetraction
1708	GallbladderRetraction
1709	GallbladderRetraction
1710	GallbladderRetraction
1711	GallbladderRetraction
1712	GallbladderRetraction
1713	GallbladderRetraction
1714	GallbladderRetraction
1715	GallbladderRetraction
1716	GallbladderRetraction
1717	GallbladderRetraction
1718	GallbladderRetraction
1719	GallbladderRetraction
1720	GallbladderRetraction
1721	GallbladderRetraction
1722	GallbladderRetraction
1723	GallbladderRetraction
1724	GallbladderRetraction
1725	GallbladderRetraction
1726	GallbladderRetraction
1727	GallbladderRetraction
1728	GallbladderRetraction
1729	GallbladderRetraction
1730	GallbladderRetraction
1731	GallbladderRetraction
1732	GallbladderRetraction
1733	GallbladderRetraction
